,unique_add,Lon,Lat,X,Y
62,24 SIN MING RD,103.836337992513,1.35518696986305,28336.0262005655,37475.2058565766
63,109 BISHAN ST 12,103.847990168368,1.34675059587742,29632.7857435234,36542.3594017662
64,177 BISHAN ST 13,103.853549587529,1.3478462316134,30251.4866673201,36663.5136352833
65,166 BISHAN ST 13,103.855225779214,1.34886345078255,30438.0271915905,36775.9941543154
66,248 BISHAN ST 22,103.843281258825,1.36139715643871,29108.7295056004,38161.898690505
67,214 BISHAN ST 23,103.848303415822,1.35751189682984,29667.6393873096,37732.2893674504
68,217 BISHAN ST 23,103.849329508235,1.35674001530713,29781.832196448,37646.9393740166
69,286 BISHAN ST 24,103.843886325616,1.3584375788776,29176.0677786237,37834.6439746711
70,135 BISHAN ST 12,103.851287598109,1.34456216829423,29999.7550202562,36300.3767090421
71,183 BISHAN ST 13,103.852476179728,1.35045853468041,30132.0260182964,36952.3678141944
72,170 BISHAN ST 13,103.853592501555,1.34642029733671,30256.2638329221,36505.841139948
73,405 SIN MING AVE,103.834739503381,1.36285292193014,28158.1321495958,38322.867581144
74,453 SIN MING AVE,103.829898490029,1.35904538127014,27619.3838323765,37901.849371247
75,274 BT BATOK EAST AVE 4,103.757962779285,1.34795232546741,19613.7341432488,36675.3653972559
76,239 BT BATOK EAST AVE 5,103.755100850762,1.3502391390638,19295.2411309313,36928.2398423143
77,343 BT BATOK ST 34,103.749167455431,1.36238776835658,18634.9667985504,38271.5967948642
78,536 BT BATOK ST 52,103.751164489972,1.35551876314657,18857.187645779,37512.0487727895
79,506 BT BATOK ST 52,103.754663779161,1.3522483162653,19246.607109786,37150.4061769024
80,194B BT BATOK WEST AVE 6,103.744861953262,1.34513283900191,18155.7449207054,36363.6496589035
81,130 BT BATOK WEST AVE 6,103.745857351625,1.35106126001126,18266.5455061039,37019.1809377
82,139 BT BATOK WEST AVE 6,103.744169896472,1.35110319953225,18078.7506765882,37023.8252268527
83,164 BT BATOK ST 11,103.742831711054,1.34771697477219,17929.8115842026,36649.3988269735
84,212 BT BATOK ST 21,103.752217334445,1.34719281119437,18974.3265588433,36591.4026460517
85,296C BT BATOK ST 22,103.748158134407,1.34369796674692,18522.5685781678,36204.9755959865
86,363 BT BATOK ST 31,103.74944732312,1.36101444441179,18666.1075293105,38119.7403834034
87,510 BT BATOK ST 52,103.754823604086,1.35275159558485,19264.395634084,37206.0557113141
88,128 BT BATOK WEST AVE 6,103.745604599322,1.35168272447315,18238.4194665225,37087.9003993552
89,107 BT BATOK WEST AVE 6,103.746608758355,1.34781088479752,18350.1559077092,36659.7676393501
90,112 BT BATOK WEST AVE 6,103.745025213312,1.34817353357762,18173.9261720926,36699.8738679588
91,102 BT BATOK WEST AVE 6,103.747473341114,1.34745833930547,18446.3731061406,36620.7815077472
92,443D BT BATOK WEST AVE 8,103.737118247972,1.35559341715517,17294.0001994781,37520.3612086214
93,296A BT BATOK ST 22,103.746409176377,1.34409358218354,18327.9299759259,36248.7276335023
94,296B BT BATOK ST 22,103.747356802144,1.34369381417078,18433.3889280939,36204.5195482764
95,628 BT BATOK CTRL,103.749837547956,1.35146739480931,18709.4986211201,37064.0737149864
96,127C KIM TIAN RD,103.830035757166,1.28152280420004,27634.6487029968,29329.8008050751
97,45 TELOK BLANGAH DR,103.809560438327,1.27175707090153,25355.9028758081,28249.9684811365
98,129 BT MERAH VIEW,103.823819207962,1.28357870505897,26942.7983862506,29557.1334304642
99,54 HAVELOCK RD,103.829233342268,1.28930893190551,27545.3478599163,30190.7507193182
100,28 HOY FATT RD,103.810121713045,1.28675654367639,25418.3834098559,29908.5321904775
101,133 JLN BT MERAH,103.82740093837,1.27955093259631,27341.4143836265,29111.7619640846
102,86 REDHILL CL,103.818673592235,1.2869200622963,26370.1359434593,29926.6061721295
103,12 TAMAN HO SWEE,103.832780576669,1.28780753147299,27940.1248478452,30024.7332500666
104,77 TELOK BLANGAH DR,103.808817449676,1.27394153200448,25273.2162833335,28491.5156781115
105,33 TELOK BLANGAH WAY,103.822184004574,1.27436196353296,26760.8093192279,28537.9945280124
106,5 DELTA AVE,103.827600712862,1.29223145125728,27363.6508184001,30513.9081792664
107,106A DEPOT RD,103.810967870883,1.28061364977894,25512.5477428287,29229.2818299923
108,105A DEPOT RD,103.811405730352,1.28107116546835,25561.2783793779,29279.8711326178
109,25B JLN MEMBINA,103.825391035279,1.28362146974577,27117.7298069736,29561.8615316655
110,127D KIM TIAN RD,103.829943174928,1.28111980555052,27624.3449970512,29285.2393108699
111,6 KIM TIAN RD,103.827421421303,1.28400968071886,27343.6951064672,29604.7872834932
112,24 TELOK BLANGAH CRES,103.820660541826,1.27540949062767,26591.2604540493,28653.8254404292
113,51 TELOK BLANGAH DR,103.810145340012,1.27351337938811,25420.9996532965,28444.1714060213
114,70B TELOK BLANGAH HTS,103.810541543465,1.27674945693288,25465.097169579,28801.9997516703
115,57 TELOK BLANGAH HTS,103.812586604999,1.27463331496043,25692.6943674143,28568.0057786927
116,8B BOON TIONG RD,103.830303346649,1.2870169493471,27664.4299472682,29937.3149545025
117,9B BOON TIONG RD,103.828928312802,1.28681417822795,27511.4001974184,29914.8937942237
118,8 JLN RUMAH TINGGI,103.807868203047,1.28857594666894,25167.5886476915,30109.7147913352
119,48 LENGKOK BAHRU,103.810963565072,1.28727739643389,25512.0749871908,29966.1245662272
120,488 SEGAR RD,103.771409031633,1.38952670931463,21110.2724277116,41272.4096485525
121,455 SEGAR RD,103.770822142944,1.38729105122449,21044.9527870584,41025.2034888044
122,225 PENDING RD,103.772545153157,1.37554049402626,21236.6684403811,39725.8808227181
123,208 PETIR RD,103.775028040256,1.3739808401432,21512.9789917469,39553.4152438249
124,550B SEGAR RD,103.76744702208,1.38959118621,20669.3522920897,41279.5511068981
125,468 SEGAR RD,103.77346717088,1.38748261821031,21339.3109263964,41046.3783951215
126,471 SEGAR RD,103.772894835446,1.3882916461168,21275.6196427308,41135.8382661883
127,541 BT PANJANG RING RD,103.763479158,1.38245153775755,20227.757119895,40490.0971061904
128,244 BT PANJANG RING RD,103.771819242148,1.38091958234255,21155.8988403874,40320.6754876152
129,537 BT PANJANG RING RD,103.763127776187,1.38372140816294,20188.6569082607,40630.5141872242
130,516 JELAPANG RD,103.767041821055,1.3873519377776,20624.2517250953,41031.9474679884
131,184 JELEBU RD,103.762440084954,1.37971095812868,20112.1123555778,40187.0609240457
132,179 LOMPANG RD,103.765075708901,1.37984676162569,20405.4248268818,40202.0688194837
133,203 PETIR RD,103.775565919483,1.37309168822619,21572.8359877709,39455.0958431195
134,481 SEGAR RD,103.772225899084,1.38945648052361,21201.1789873289,41264.641733747
135,546C SEGAR RD,103.769500699103,1.38899257137165,20897.8981490713,41213.3529985547
136,472 SEGAR RD,103.772572478235,1.38791096329786,21239.7443636907,41093.7451865934
137,626 SENJA RD,103.759880549321,1.38547480834709,19827.2876928039,40824.4073798321
138,604 SENJA RD,103.762509288056,1.38098101760637,20119.8179788729,40327.497527929
139,130 CASHEW RD,103.771281823916,1.37401129101616,21096.0710529676,39556.792848127
140,3 QUEEN'S RD,103.811647694363,1.32287761525628,25588.2467593858,33902.6131139658
141,664 BUFFALO RD,103.851112543389,1.30613246548155,29980.3038453432,32051.0169729404
142,4 TG PAGAR PLAZA,103.842741240941,1.27590520131404,29048.6675650589,28708.637005711
143,1 TG PAGAR PLAZA,103.842923496499,1.27625903973354,29068.951018719,28747.7627029866
144,639 ROWELL RD,103.855203622089,1.30775082189872,30435.601575911,32229.9701006599
145,1C CANTONMENT RD,103.841666679651,1.27744909387079,28929.0768545093,28879.3522476424
146,166B TECK WHYE CRES,103.753400918803,1.38315989308266,19106.1787085254,40568.45888808
147,106 TECK WHYE LANE,103.752931630674,1.37795798795128,19053.9334142432,39993.2598369122
148,818A CHOA CHU KANG AVE 1,103.748488766609,1.37762936263123,18559.4963052701,39956.9392250273
149,808B CHOA CHU KANG AVE 1,103.7460213304,1.37559249810909,18284.8928681854,39731.7227554508
150,412 CHOA CHU KANG AVE 3,103.742381573149,1.38180972459048,17879.8586962027,40419.2080657296
151,441 CHOA CHU KANG AVE 4,103.739807246356,1.38292240385745,17593.3731988939,40542.2537758164
152,487C CHOA CHU KANG AVE 5,103.739137682367,1.37651280702577,17518.8310852097,39833.5151046086
153,484B CHOA CHU KANG AVE 5,103.736338345807,1.37623030762822,17207.2979838718,39802.290198585
154,657 CHOA CHU KANG CRES,103.749872437775,1.40044599472035,18713.5709059173,42479.8839364406
155,691A CHOA CHU KANG CRES,103.751471709468,1.40115779753494,18891.5511298366,42558.585294839
156,684D CHOA CHU KANG CRES,103.746800063318,1.40467820311031,18371.6741437651,42947.873062849
157,763 CHOA CHU KANG NTH 5,103.748557165772,1.3928485364107,18567.1684824433,41639.7998015974
158,641 CHOA CHU KANG ST 64,103.749817817326,1.39830454666217,18707.4839538559,42243.0934136435
159,802B KEAT HONG CL,103.742851486532,1.37474137483876,17932.1244819099,39637.622893285
160,804B KEAT HONG CL,103.74188877037,1.3731140372383,17824.9790279567,39457.6840281393
161,816B KEAT HONG LINK,103.748460043787,1.37604113515339,18556.2935591089,39781.3210237548
162,5 TECK WHYE AVE,103.75356509712,1.38211439144289,19124.4457999151,40452.8518982064
163,11 TECK WHYE LANE,103.754969354123,1.37976221059279,19280.7133765183,40192.7542409785
164,453 CHOA CHU KANG AVE 4,103.73490597126,1.37997802767876,17047.9093543952,40216.7011800483
165,429 CHOA CHU KANG AVE 4,103.740135563152,1.38274325486337,17629.909954451,40522.4429264534
166,488D CHOA CHU KANG AVE 5,103.740504704448,1.37642221610651,17670.9634801457,39823.4920434076
167,484C CHOA CHU KANG AVE 5,103.73687123842,1.37549260049004,17266.5991083747,39720.7157729045
168,485B CHOA CHU KANG AVE 5,103.738807275182,1.37429936592367,17482.0511264037,39588.7651614714
169,810B CHOA CHU KANG AVE 7,103.745467656318,1.37421764851385,18223.2701287959,39579.7009597272
170,684A CHOA CHU KANG CRES,103.746767050296,1.40400608389802,18367.9974917835,42873.5535701867
171,353 CHOA CHU KANG CTRL,103.743397513845,1.38213707062575,17992.9215409718,40455.4000689518
172,801D KEAT HONG CL,103.743031630831,1.37513575657307,17952.1739943242,39681.2309157327
173,805C KEAT HONG CL,103.743618216079,1.37268736243732,18017.4436020004,39410.4971495625
174,801B KEAT HONG CL,103.742823385612,1.37582471905172,17929.0017340295,39757.4138568155
175,817A KEAT HONG LINK,103.748545956804,1.37660757238152,18565.8568496369,39843.9545019232
176,122 TECK WHYE LANE,103.749630691351,1.37851898360363,18686.5818831446,40055.3046027999
177,134 TECK WHYE LANE,103.750956814968,1.38026609488201,18834.1696916651,40248.4863464497
178,311C CLEMENTI AVE 4,103.765573473984,1.32010579446331,20460.6358084772,33596.2115860526
179,312B CLEMENTI AVE 4,103.764455532029,1.3196729696325,20336.2184744393,33548.3554218207
180,311A CLEMENTI AVE 4,103.765492195959,1.31911656776897,20451.5873763524,33486.8281476516
181,607 CLEMENTI WEST ST 1,103.76785339614,1.30423592481834,20714.3229186293,31841.3950528633
182,715 CLEMENTI WEST ST 2,103.761943675943,1.30315360303876,20056.6213043295,31721.735270774
183,601 CLEMENTI WEST ST 1,103.765253754328,1.30477461299303,20425.0080004707,31900.9681351986
184,311B CLEMENTI AVE 4,103.765649446368,1.31944669077178,20469.0888088262,33523.3310030662
185,97 ALJUNIED CRES,103.885672031668,1.32130121230561,33826.4212438306,33728.3533700705
186,23 BALAM RD,103.886540431592,1.33097096666446,33923.0426106481,34797.5877227262
187,60 CIRCUIT RD,103.886532776037,1.32555253561538,33922.2035216037,34198.4451225027
188,67 CIRCUIT RD,103.887926514332,1.32584857614009,34077.3118646992,34231.1831553001
189,85 CIRCUIT RD,103.885755259463,1.32265241052434,33835.6805227287,33877.7621912956
190,95 OLD AIRPORT RD,103.887347527399,1.30840477810117,34012.9182427395,32302.3353106864
191,91 PAYA LEBAR WAY,103.886737921495,1.32268116095086,33945.04098773,33880.9435985275
192,10 PINE CL,103.882242524292,1.30915239429834,33444.7772313561,32384.9912416935
193,63 SIMS PL,103.879545641729,1.31659507864197,33144.6241654642,33207.9595884439
194,18B CIRCUIT RD,103.888248441219,1.32918105126141,34113.1309058266,34599.6721269581
195,411 EUNOS RD 5,103.899680218483,1.31859419589813,35385.4024392376,33429.0624271575
196,39 JLN TIGA,103.924365038448,1.32145551908291,38132.5722832251,33745.540076049
197,339 UBI AVE 1,103.902007029513,1.32646063251974,35644.3298454108,34298.900262408
198,338 UBI AVE 1,103.902073613523,1.32613973623742,35651.7409612248,34263.4173775073
199,6 HAIG RD,103.897214949603,1.31317618810987,35111.0573091256,32829.9594174586
200,47 JLN TIGA,103.885032047857,1.30876081841943,33755.226072982,32341.6990051195
201,9 PINE CL,103.882437524567,1.30946949657983,33466.4782557664,32420.0552177001
202,131 GEYLANG EAST AVE 1,103.886811248047,1.31675861430335,33953.2155831652,33226.0586925242
203,334 UBI AVE 1,103.903071539258,1.32639446873503,35762.7992785042,34291.5875175409
204,986B BUANGKOK CRES,103.880129232731,1.38227273503528,33209.4325193362,40470.262980748
205,986A BUANGKOK CRES,103.87980371499,1.3819169455989,33173.207281868,40430.9208673891
206,112 HOUGANG AVE 1,103.888557768191,1.35442181063898,34147.492846217,37390.6682558265
207,511 HOUGANG AVE 10,103.888728981515,1.37207420608508,34166.5020480314,39342.5815450177
208,247 HOUGANG AVE 3,103.891524293017,1.35916575005657,34477.6207806719,37915.2368701771
209,22 HOUGANG AVE 3,103.89046790222,1.36428542444529,34360.0432845233,38481.3418451007
210,242 HOUGANG ST 22,103.892167860466,1.35738897663765,34549.2471794849,37718.7719583344
211,689 HOUGANG ST 61,103.885771949604,1.3764920735414,33837.4096418349,39831.0796518344
212,473C UPP SERANGOON CRES,103.901387559,1.37628006481899,35575.2346975412,39807.6806843411
213,981C BUANGKOK CRES,103.879579342737,1.38044801592325,33148.2406446943,40268.4935442228
214,980C BUANGKOK CRES,103.880971331232,1.38003179108977,33303.1523972359,40222.472558111
215,124 HOUGANG AVE 1,103.886655349716,1.35289261537459,33935.7789847134,37221.5728353113
216,304 HOUGANG AVE 5,103.895530258805,1.36778671687043,34923.4138497971,38868.5111266617
217,526 HOUGANG AVE 6,103.89056383733,1.37440740122225,34370.6930140583,39600.5793306082
218,630 HOUGANG AVE 8,103.881064208977,1.37028550123907,33313.5100709954,39144.7772143595
219,506 HOUGANG AVE 8,103.887618824824,1.37276572375702,34042.953374858,39419.0432542302
220,419 HOUGANG AVE 8,103.894831285996,1.3761286530375,34845.6028241394,39790.9185171034
221,933A HOUGANG AVE 9,103.882032792636,1.37575796713264,33421.2893970637,39749.8970452026
222,556 HOUGANG ST 51,103.890205700216,1.3797347301581,34330.8226941144,40189.6476259343
223,567 HOUGANG ST 51,103.889006350502,1.3784910931246,34197.3532957947,40052.1293399688
224,969 HOUGANG ST 91,103.879496357849,1.37875948902978,33139.0090912683,40081.7845786233
225,137 LOR AH SOO,103.88664017294,1.34905321621757,33934.0992932245,36797.0314623769
226,470A UPP SERANGOON CRES,103.901927831856,1.37905480016802,35635.3515744731,40114.4987602476
227,170 HOUGANG AVE 1,103.889319373277,1.35146345874372,34232.2583951531,37063.5505934227
228,362 HOUGANG AVE 5,103.896057697471,1.37000908086653,34982.10504416,39114.2504999172
229,838 HOUGANG CTRL,103.891412815739,1.36987745772013,34465.1860573338,39099.6832457855
230,927 HOUGANG ST 91,103.880750517878,1.37662265814177,33278.5861449512,39845.5073402934
231,939 HOUGANG ST 92,103.879695215818,1.37395824754613,33161.1498186784,39550.8879579883
232,975 HOUGANG ST 91,103.879679968404,1.37715967450289,33159.4460944105,39904.8855573498
233,264 JURONG EAST ST 24,103.741654163177,1.34382869717494,17798.7472496005,36219.4573127963
234,410 PANDAN GDNS,103.747433142313,1.31900921124333,18441.7896859031,33475.019275412
235,275 TOH GUAN RD,103.747964433747,1.34106185650379,18501.0016106572,35913.4884354416
236,201 JURONG EAST ST 21,103.743075430286,1.3364056697524,17956.8887170758,35398.6500092801
237,322 JURONG EAST ST 31,103.729165542694,1.34803793215272,16408.9180153012,36684.9494818877
238,281 TOH GUAN RD,103.746414934077,1.33989545035108,18328.5542530902,35784.5191296004
239,278 TOH GUAN RD,103.746437082019,1.34090157770535,18331.0230309134,35895.7715857271
240,287C JURONG EAST ST 21,103.744874243365,1.33786879437045,18157.0836433573,35560.4277512468
241,180B BOON LAY DR,103.709070823104,1.34783599908392,14172.5934029203,36662.7255780604
242,560A JURONG WEST ST 42,103.719829055981,1.3533579932237,15369.8963770252,37273.2622580715
243,197B BOON LAY DR,103.713531362621,1.3437815486012,14668.9810412992,36214.3793137036
244,175 BOON LAY DR,103.709485323529,1.34668916681369,14218.7163618682,36535.9120790903
245,210 BOON LAY PL,103.7129331836,1.34764592847862,14602.4311887166,36641.6869079378
246,120 HO CHING RD,103.724260953568,1.33540764836183,15863.0285424152,35288.3786595762
247,502 JURONG WEST AVE 1,103.7181137591,1.35043776611303,15178.9876076123,36950.3667977899
248,481 JURONG WEST ST 41,103.725229988301,1.34684614465939,15970.9279415747,36553.1865622215
249,561A JURONG WEST ST 42,103.719755141086,1.354294109695,15361.6753202351,37376.7738287039
250,534 JURONG WEST ST 52,103.717106045626,1.34896771891724,15066.8324088706,36787.8214900233
251,122 YUAN CHING RD,103.72386599203,1.33598546940987,15819.0762519203,35352.2732230201
252,121 YUAN CHING RD,103.724078165253,1.33570402533121,15842.6875493182,35321.1514702849
253,183D BOON LAY AVE,103.709041526551,1.34909289443558,14169.3401092263,36801.7071394306
254,720 JURONG WEST AVE 5,103.697497312594,1.34435137284809,12884.5653862972,36277.4810981192
255,683A JURONG WEST CTRL 1,103.704847787281,1.34260903139995,13702.5848269062,36084.7771345917
256,694 JURONG WEST CTRL 1,103.707051960202,1.34312102349205,13947.8888557525,36141.3779614642
257,698B JURONG WEST CTRL 3,103.707506154373,1.3406512946922,13998.4217993924,35868.2847151589
258,476 JURONG WEST ST 41,103.7241842095,1.34771574253853,15854.5484219538,36649.3476135451
259,413 JURONG WEST ST 42,103.725111457509,1.35327579127819,15957.7683908306,37264.1459045932
260,561B JURONG WEST ST 42,103.71967262747,1.35477102717501,15352.4949499704,37429.5094643235
261,546 JURONG WEST ST 42,103.715217116167,1.35270020453812,14856.6352457628,37200.5516903512
262,642 JURONG WEST ST 61,103.695839824959,1.34036989694199,12700.0798765132,35837.2389047947
263,648D JURONG WEST ST 61,103.697683971767,1.33943036999687,12905.3083987543,35733.3390867375
264,668C JURONG WEST ST 64,103.703403993812,1.34133284361425,13541.8983970918,35943.6709423717
265,608 JURONG WEST ST 65,103.700171739975,1.33797471643971,13182.162351232,35572.3647478614
266,673C JURONG WEST ST 65,103.701313082539,1.34471213524955,13309.2221407844,36317.3491782323
267,858 JURONG WEST ST 81,103.696205676966,1.34828949021977,12740.8445548397,36712.9472760223
268,932 JURONG WEST ST 92,103.68866421473,1.34175201491732,11901.5183000406,35990.1129258685
269,153 YUNG HO RD,103.721043765241,1.32748327992351,15504.9488211609,34412.1570341494
270,165A YUNG KUANG RD,103.721913762657,1.33072542257431,15601.7870278154,34770.6528493762
271,177 YUNG SHENG RD,103.721308656123,1.33332045172975,15534.4578351872,35057.6014771033
272,349 CORPORATION DR,103.719166865639,1.33953419646662,15296.1303949794,35744.697874058
273,273C JURONG WEST AVE 3,103.704007771092,1.35183241937093,13609.1540385196,37104.6597819403
274,272B JURONG WEST ST 24,103.704862240601,1.3505208170253,13704.2394262357,36959.6240790021
275,517D JURONG WEST ST 52,103.719459357636,1.34492456848375,15328.7094300576,36340.7373097856
276,650A JURONG WEST ST 61,103.696904315506,1.33801867728359,12818.532087124,35577.2457023785
277,662C JURONG WEST ST 64,103.704016273042,1.33748082799852,13610.0161614995,35517.7300686762
278,663B JURONG WEST ST 65,103.701603006284,1.338132417668,13341.4484025119,35589.7939911932
279,672A JURONG WEST ST 65,103.700939148875,1.34372474655062,13267.6013930738,36208.1707448848
280,759 JURONG WEST ST 74,103.69970417817,1.35014490879961,13130.2011825126,36918.0888988823
281,854 JURONG WEST ST 81,103.69606144333,1.34731625275917,12724.786844654,36605.3322445713
282,843 JURONG WEST ST 81,103.69403693015,1.34419039793866,12499.4605628327,36259.7029557377
283,348 KANG CHING RD,103.719782260106,1.3406099422348,15364.622846758,35863.6453899536
284,138B YUAN CHING RD,103.724304147765,1.32841510984309,15867.8014099644,34515.1779607646
285,410 JURONG WEST ST 42,103.726384287671,1.35367352760289,16099.4221308753,37308.1193524096
286,405 JURONG WEST ST 42,103.721439265395,1.35422127854017,15549.0991550749,37368.711799901
287,656C JURONG WEST ST 61,103.69997420624,1.33598955071785,13160.1669706805,35352.8558817059
288,609 JURONG WEST ST 65,103.700586485479,1.33793586799435,13228.3189984458,35568.066573102
289,334 KANG CHING RD,103.722907285019,1.33940432115565,15712.3991042105,35730.3178274054
290,10A BENDEMEER RD,103.86050538635,1.31499138887312,31025.6299414122,33030.6006148905
291,10 GLOUCESTER RD,103.840387458086,1.31369315585356,28786.6985594695,32887.033332916
292,16 UPP BOON KENG RD,103.871651573593,1.31543175817283,32266.0926993955,33079.3106692117
293,98 WHAMPOA DR,103.854150953187,1.32158068709129,30318.4365718449,33759.2046178337
294,10C BENDEMEER RD,103.860644539729,1.31584236197018,31041.1153445626,33124.6970265079
295,10B BENDEMEER RD,103.860312930116,1.31547715332072,31004.2108330028,33084.3137247767
296,13 FARRER PK RD,103.851400079336,1.311600762123,30012.299586107,32655.6733404156
297,117B JLN TENTERAM,103.860801944702,1.32816494843873,31058.6179272188,34487.2657342199
298,78 LOR LIMAU,103.855541044499,1.32487617789478,30473.1366906436,34123.6044454277
299,105 TOWNER RD,103.861346713506,1.3208130428228,31119.2543238234,33674.3303160314
